POCO,LATITUDE_BASE_4C,LONGITUDE_BASE_4C,LATITUDE_BASE_DD,LONGITUDE_BASE_DD,DATUM_HORIZONTAL,PROFUNDIDADE_SONDADOR_M,AGP
4-LS-17-ES,"-19:10:31,196","-39:43:36,184","-19,1753322","-39,7267178",SIRGAS2000,2800,Existe
4-LS-5-ES,"-19:11:32,397","-39:44:38,137","-19,1923325","-39,7439269",SIRGAS2000,2740,Existe
4-LS-6-ES,"-19:12:16,774","-39:43:48,251","-19,2046594","-39,7300697",SIRGAS2000,2800,Existe
4-LS-7-ES,"-19:11:53,945","-39:44:05,280","-19,1983181","-39,7348000",SIRGAS2000,2920,Existe
4-MA-11-RJS,"-22:42:23,770","-40:29:47,604","-22,7066028","-40,4965567",SIRGAS2000,3162,Existe
4-NAB-5-SE,"-11:01:46,867","-37:07:55,416","-11,0296853","-37,1320600",SIRGAS2000,2487,
4-PDM-11-SE,"-10:34:06,038","-36:37:55,322","-10,5683439","-36,6320339",SIRGAS2000,1980,
4-RJS-381-RJS,"-22:35:30,608","-40:11:33,889","-22,5918356","-40,1927469",SIRGAS2000,3405,Existe
4-RJS-403-RJS,"-22:22:20,495","-40:07:33,039","-22,3723597","-40,1258442",SIRGAS2000,3113,Existe
4-RJS-410-RJ,"-22:37:46,447","-40:40:18,816","-22,6295686","-40,6718933",SIRGAS2000,2126,Existe
4-RJS-440-RJ,"-22:36:37,948","-40:27:58,473","-22,6105411","-40,4662425",SIRGAS2000,3196,Existe
4-RJS-448-RJ,"-22:37:35,531","-40:37:26,903","-22,6265364","-40,6241397",SIRGAS2000,2335,Existe
4-RJS-477-RJS,"-22:06:49,776","-39:51:18,009","-22,1138267","-39,8550025",SIRGAS2000,2415,Existe
4-RJS-493-RJS,"-22:49:15,085","-40:43:24,771","-22,8208569","-40,7235475",SIRGAS2000,3670,Existe
4-RJS-494-RJ,"-22:41:24,559","-40:45:15,176","-22,6901553","-40,7542156",SIRGAS2000,3324,Existe
4-RJS-55-RJ,"-22:48:48,816","-40:46:40,500","-22,8135600","-40,7779167",SIRGAS2000,3075,Existe
4-SES-59-SE,"-11:08:56,940","-36:58:25,706","-11,1491500","-36,9738072",SIRGAS2000,1477,
4-SES-62-SE,"-11:00:22,123","-36:55:00,378","-11,0061453","-36,9167717",SIRGAS2000,2560,
4-SES-67-SES,"-11:00:30,591","-36:53:41,708","-11,0084975","-36,8949189",SIRGAS2000,2724,
4-SES-73-SE,"-10:59:35,472","-36:56:54,067","-10,9931867","-36,9483519",SIRGAS2000,2589,
4-SES-79-SES,"-10:39:38,412","-36:39:55,813","-10,6606700","-36,6655036",SIRGAS2000,3115,
4-SES-80-SE,"-10:36:12,037","-36:32:09,744","-10,6033436","-36,5360400",SIRGAS2000,3201,
4-SES-81-SE,"-10:56:08,884","-36:55:21,328","-10,9358011","-36,9225911",SIRGAS2000,2801,
4-SES-84-SES,"-10:42:00,644","-36:39:29,266","-10,7001789","-36,6581294",SIRGAS2000,3100,
4-SES-87-SES,"-11:05:00,183","-36:59:10,617","-11,0833842","-36,9862825",SIRGAS2000,1525,
6-CA-10-BA,"-12:42:33,282","-38:23:18,985","-12,7092450","-38,3886069",SIRGAS2000,3460,Existe
6-MG-473-BA,"-12:19:07,103","-38:10:07,259","-12,3186397","-38,1686831",SIRGAS2000,3168,Existe
1-BG-3-SPS,"-25:08:45,543","-45:12:33,669","-25,1459842","-45,2093525",SIRGAS2000,4655,
1-BRSA-117-RJS,"-22:47:15,897","-40:17:18,826","-22,7877492","-40,2885628",SIRGAS2000,3628,Existe
1-BRSA-125-RJS,"-23:23:19,938","-39:59:18,829","-23,3888717","-39,9885636",SIRGAS2000,5658,Existe
1-BRSA-127-RJS,"-24:41:39,666","-42:54:31,319","-24,6943517","-42,9086997",SIRGAS2000,3898,Existe
1-BRSA-129-RJS,"-22:03:40,066","-39:26:42,279","-22,0611294","-39,4450775",SIRGAS2000,4628,Existe
1-BRSA-130-RJS,"-24:18:46,743","-42:21:26,949","-24,3129842","-42,3574858",SIRGAS2000,3246,Existe
1-BRSA-162-RJS,"-23:36:28,426","-40:56:53,670","-23,6078961","-40,9482417",SIRGAS2000,3845,Existe
1-BRSA-16-SES,"-11:27:32,755","-36:58:49,090","-11,4590986","-36,9803028",SIRGAS2000,4180,Existe
